Journal number,Voucher,Date,Year closed,Ledger account,Account name,Description,Currency,Amount in transaction currency,Amount,Amount in reporting currency,Posting type,Posting layer,Created by,Created date and time
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,1700.4,1700.4,1700.4,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1160.81,-1160.81,-1160.81,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,1151.04,1151.04,1151.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,13745.08,13745.08,13745.08,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,3305.02,3305.02,3305.02,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-2232.77,-2232.77,-2232.77,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,548.96,548.96,548.96,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,13641.4,13641.4,13641.4,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,3472.76,3472.76,3472.76,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-2358.19,-2358.19,-2358.19,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,131.84,131.84,131.84,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,950.34,950.34,950.34,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,9635.13,9635.13,9635.13,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2525.04,2525.04,2525.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1767.47,-1767.47,-1767.47,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,132.38,132.38,132.38,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,7824.54,7824.54,7824.54,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2397.32,2397.32,2397.32,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1643.55,-1643.55,-1643.55,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,1979.94,1979.94,1979.94,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,12074.53,12074.53,12074.53,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2970.34,2970.34,2970.34,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-2011.61,-2011.61,-2011.61,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,516.01,516.01,516.01,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,11686.18,11686.18,11686.18,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2708.29,2708.29,2708.29,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1831.16,-1831.16,-1831.16,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,-366.18,-366.18,-366.18,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,656.97,656.97,656.97,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,19894.0,19894.0,19894.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,4743.06,4743.06,4743.06,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-3194.91,-3194.91,-3194.91,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,613.27,613.27,613.27,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,5121.1,5121.1,5121.1,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,1999.37,1999.37,1999.37,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1373.04,-1373.04,-1373.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,3340.96,3340.96,3340.96,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,19664.61,19664.61,19664.61,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,5735.78,5735.78,5735.78,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-3946.27,-3946.27,-3946.27,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,2437.04,2437.04,2437.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,9232.51,9232.51,9232.51,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2482.01,2482.01,2482.01,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1654.95,-1654.95,-1654.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,14294.14,14294.14,14294.14,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,3395.87,3395.87,3395.87,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-2306.04,-2306.04,-2306.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,46.3,46.3,46.3,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600006,Vacation Expense,Vacation Expense,USD,114.8,114.8,114.8,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,12358.43,12358.43,12358.43,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,3309.23,3309.23,3309.23,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-2241.53,-2241.53,-2241.53,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600007,Overtime,Overtime,USD,1386.59,1386.59,1386.59,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,10236.25,10236.25,10236.25,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,400.0,400.0,400.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,210.0,210.0,210.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,90.0,90.0,90.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,120.0,120.0,120.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,621400,Telephony,To record Cell Phone Allowance,USD,100.0,100.0,100.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,531350,Phone & Telecommunications,To record Cell Phone Allowance,USD,40.0,40.0,40.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-1515.82,-1515.82,-1515.82,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,2192.9,2192.9,2192.9,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,228.31,228.31,228.31,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,1550.56,1550.56,1550.56,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,228.32,228.32,228.32,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,7727.74,7727.74,7727.74,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,1801.93,1801.93,1801.93,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,228.31,228.31,228.31,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,6390.28,6390.28,6390.28,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,4847.75,4847.75,4847.75,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521300,Employee Benefits,To record Benefits - Employeer Portion,USD,6904.27,6904.27,6904.27,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,329.04,329.04,329.04,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,815.41,815.41,815.41,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,1165.45,1165.45,1165.45,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,978.24,978.24,978.24,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,647.85,647.85,647.85,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,620.74,620.74,620.74,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,931.33,931.33,931.33,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,965.52,965.52,965.52,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,845.7,845.7,845.7,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,657.95,657.95,657.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,2069.24,2069.24,2069.24,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,641000,Health Insurance - Employees,To record Benefits - Employeer Portion,USD,329.46,329.46,329.46,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600000,Salaries,Salaries,USD,18269.23,18269.23,18269.23,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,Payroll Taxes,USD,-3418.28,-3418.28,-3418.28,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,600001,Payroll Taxes,To record Payroll Taxes,USD,3681.61,3681.61,3681.61,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,651400,SG&A Auto Expenses,Auto Allowance,USD,700.0,700.0,700.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,520000,Direct Labor,Direct Labor,USD,12908.39,12908.39,12908.39,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,520000,Direct Labor,Direct Labor,USD,7920.55,7920.55,7920.55,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521700,Payroll Taxes,Payroll Taxes,USD,-2626.66,-2626.66,-2626.66,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521700,Payroll Taxes,Payroll Taxes,USD,-1936.76,-1936.76,-1936.76,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521700,Payroll Taxes,To record Payroll Taxes,USD,3580.4,3580.4,3580.4,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,521700,Payroll Taxes,To record Payroll Taxes,USD,2608.76,2608.76,2608.76,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,520001,Overtime,Overtime,USD,111.55,111.55,111.55,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,520001,Overtime,Overtime,USD,924.96,924.96,924.96,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,652500,Entertainment 50% deductible,Maria Perez Expenses to 2020-07-16,USD,5.88,5.88,5.88,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,604000,Travel,Maria Expenses to 2020-07-22,USD,270.0,270.0,270.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,604000,Travel,Maria Perez Expenses to 2020-07-16,USD,75.43,75.43,75.43,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Elvin Uhlenhopp Expenses to 2020-07-22,USD,20.0,20.0,20.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Brent Gadbois Expenses to 2020-06-30,USD,7.73,7.73,7.73,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Elvin Uhlenhopp Expenses to 2020-07-22,USD,338.72,338.72,338.72,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Elvin Uhlenhopp Expenses to 2020-07-22,USD,264.88,264.88,264.88,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Elvin Uhlenhopp Expenses to 2020-07-22,USD,20.0,20.0,20.0,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,David Gushleff Expenses to 2020-08-01,USD,194.25,194.25,194.25,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,David Gushleff Expenses to 2020-08-01,USD,194.25,194.25,194.25,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,264.24,264.24,264.24,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,73.53,73.53,73.53,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,186.85,186.85,186.85,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,191.09,191.09,191.09,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,34.95,34.95,34.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,34.95,34.95,34.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,34.95,34.95,34.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,34.95,34.95,34.95,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Tannyer Zielinski Expenses to 2020-07-30,USD,47.27,47.27,47.27,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Nelson Perez Expenses to 2020-07-31,USD,162.14,162.14,162.14,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Nelson Perez Expenses to 2020-07-31,USD,159.67,159.67,159.67,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Nelson Perez Expenses to 2020-07-31,USD,154.8,154.8,154.8,Ledger journal,Current,ahooda,2020-08-13 17:18:08
GJT-049136,Prl_000000313,2020-08-13 00:00:00,No,504000,Travel,Joshua Gant Expenses to 2020-07-26,USD,150.66,150.66,150.66,Ledger journal,Current,ahooda,2020-08-13 17:18:08
